sample_no,side,hits,energy,peak_0,peak_1000,peak_2000,peak_3000,peak_4000,totalSampleTime[ms],avgSampleTime[ms],overallAvgEnergy,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,
266,L,1,105.34,20,13,9,9,9,45,0.11,105.34,204.75,2396.65,1984.05,2414.85,2386.15,1058.70,2078.40,482.20,1548.95,2050.55,1540.15,1799.85,2414.65,893.85,2570.05,1114.90,1858.80,862.25,741.35,684.95,
283,L,1,76.93,22,17,12,10,9,45,0.11,76.93,204.75,3447.55,1649.10,2366.85,2071.25,1861.00,2150.10,1339.90,310.70,2368.70,2640.15,601.85,1635.05,1606.55,3063.25,1509.65,564.15,991.05,121.70,1200.25,
309,L,1,18.91,44,33,30,27,22,45,0.11,18.91,204.75,2149.20,2706.40,1616.60,1950.60,2056.40,1894.05,1846.40,1600.10,2423.15,1422.35,3239.00,1472.45,3069.40,1459.20,2918.05,1254.05,2644.35,709.40,2535.90,
314,L,1,59.66,37,33,28,26,22,46,0.12,59.66,204.75,1255.20,2833.75,1903.60,2658.70,2125.15,2888.20,1670.15,2462.05,1069.40,3924.70,927.45,2311.60,1427.80,2125.25,1485.55,2376.90,1451.40,1943.45,3261.35,
320,L,1,114.40,41,30,27,21,20,45,0.11,114.40,204.75,2391.75,1693.80,1898.40,2119.60,1968.50,2853.80,1401.85,2792.40,949.70,2745.60,865.35,2410.60,1444.35,3806.45,1143.40,3261.15,1814.35,3041.50,858.70,
325,L,1,87.58,45,39,35,33,31,45,0.11,87.58,204.75,2198.05,1924.25,2188.00,2924.25,2118.50,2555.05,1628.80,2152.30,1643.70,3269.15,1962.10,2973.05,1935.15,2514.10,1161.00,2104.50,1437.70,1229.80,2024.90,
330,L,1,158.06,36,25,23,22,22,45,0.11,158.06,204.75,1673.55,2423.70,1681.20,2018.50,1424.70,2310.10,2116.85,3164.60,1750.50,2720.70,175.75,3182.65,1367.00,2553.70,2021.65,2215.35,2597.50,3062.05,2391.15,
335,L,1,108.19,37,31,25,24,23,45,0.11,108.19,204.75,2132.60,2207.75,2263.05,2003.90,1608.90,2777.65,1413.75,2995.15,2545.45,2914.40,1253.00,2404.55,2166.75,1567.20,1279.00,1656.95,1313.05,2749.45,3176.20,
342,L,1,84.95,27,20,16,14,11,46,0.12,84.95,204.75,1856.25,2881.95,1784.25,2555.75,2464.75,1613.40,953.45,683.60,1577.95,844.80,449.20,1168.80,3594.55,3379.80,3824.25,3278.55,2775.00,2225.05,221.70,
348,L,1,51.80,20,14,12,12,12,44,0.11,51.80,204.75,2239.85,1559.45,1850.50,2632.15,3308.90,1874.10,2088.90,102.45,3039.50,474.80,2794.50,786.20,2093.90,2408.40,3503.90,3868.85,3273.60,3231.00,22.35,
